,gpsDate,latitude,longitude,Power_Mode,Fuel_Consum,GD_Engine_Temp,Steering_Angle_Speed,Transmission_Type,Vehicle_Speed,Engine_Speed,Brake_Control_Volume,Radar_Cruise_State,Streering_Angle_Degree,Odometer_Reading,Hood_Courtesy,Passenger_AC_Value,Driver_AC_Value,Fuel_Gauge,Rear_Fog_Light,Front_Fog_Light,Lounge_Illum_Light,Front_Dome_Light,Slide_Roof,Passenger_Window_State,RR_Window_State,Driver_Window_State,RL_Window_State,AccelFB,AccelLR,Inlet_Switch_Indicator,AC_Blower_Level,WhilteLine_Left,LKA_Steering_Support,WhilteLine_Right
0,2017-03-03T14:05:06,33.6392708,-112.2275543,0.0,0.5265,999.0,999.0,3.0,0.0,1292.96875,0.0,1.0,-106.5,16446.0,0.0,69.8999290277,66.0,73.0,0.0,1.0,3.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0718104309891,0.0718104309891,0.454545454545,2.18181818182,2.0,0.0,2.0
11,2017-03-03T14:05:17,33.6392795,-112.2275694,0.0,0.534,999.0,999.0,3.0,0.0,1300.78125,0.0,1.0,-106.5,16647.9192271,0.0,70.0,66.0,137.30264672,0.0,1.0,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.0718104309891,0.0718104309891,0.454545454545,2.18181818182,2.0,0.0,2.0
22,2017-03-03T14:05:28,33.6392839,-112.2275738,0.0,0.32,999.0,999.0,3.0,0.0,1163.28125,0.0,1.0,-106.5,16446.0,0.0,69.8999290277,66.0,137.30264672,0.0,1.0,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,-0.126890297,-0.126890297,0.454545454545,2.18181818182,2.0,0.0,2.0
33,2017-03-03T14:05:39,33.6392882,-112.227576,0.0,0.333,999.0,999.0,3.0,0.0,1173.4375,0.0,1.0,-106.5,16446.0,0.0,69.8999290277,66.0,137.30264672,0.0,1.0,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,-0.101512238,-0.101512238,0.454545454545,2.18181818182,2.0,0.0,2.0
44,2017-03-03T14:05:50,33.6392882,-112.2275781,0.0,0.332,999.0,999.0,3.0,0.0,1150.78125,0.0,1.0,-106.5,16446.0,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.0718104309891,0.0718104309891,0.454545454545,2.18181818182,1.17216090619,0.521638106303,1.17041823991
55,2017-03-03T14:06:01,33.6392882,-112.2275781,0.0,0.328,999.0,999.0,3.0,0.0,1149.21875,0.0,1.0,-106.5,16647.9192271,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,-0.126890297,-0.126890297,0.454545454545,2.18181818182,2.0,0.0,2.0
66,2017-03-03T14:06:12,33.6392904,-112.2275803,0.0,0.3305,999.0,999.0,3.0,0.0,1135.9375,0.0,1.0,-106.5,16647.9192271,0.0,70.0,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.0718104309891,0.0718104309891,0.454545454545,2.18181818182,2.0,0.0,2.0
77,2017-03-03T14:06:23,33.6392904,-112.2275803,0.0,0.33,999.0,999.0,3.0,0.0,1135.9375,0.0,1.0,-106.5,16446.0,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,3.0,1.0,2.0,1.85365853659,2.0,1.92682926829,2.0,-0.126890297,-0.126890297,0.454545454545,2.18181818182,2.0,0.0,2.0
88,2017-03-03T14:06:34,33.6392925,-112.2275803,0.0,0.3285,999.0,999.0,3.0,0.0,1135.9375,0.0,1.0,-106.5,16446.0,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.0718104309891,0.0718104309891,0.454545454545,2.18181818182,2.0,0.0,2.0
99,2017-03-03T14:06:45,33.6392947,-112.2275803,0.0,0.3175,999.0,999.0,3.0,0.0,1137.5,0.0,1.0,-106.5,16647.9192271,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.0718104309891,0.0718104309891,0.454545454545,2.18181818182,1.17216090619,0.521638106303,1.17041823991
